1.145187,
1.146133,
1.153863,
1.145195,
1.160818,
1.161843,
1.188802,
1.182151,
1.171036,
1.172983,
1.172325,
1.157956,
1.159526,
1.156543,
1.159349,
1.153441,
1.151226
