1.148683, 
1.141393, 
1.154622, 
1.160016, 
1.148082, 
1.143877, 
1.153322, 
1.155241, 
1.164137, 
1.174702, 
1.180427, 
1.169531, 
1.155268, 
1.150942, 
1.142893, 
1.143194, 
1.134912, 
