2.383463, 
2.358549, 
2.347486, 
2.341331, 
2.418798, 
2.440646, 
2.626606, 
2.617678, 
2.498637, 
2.469124, 
2.523346, 
2.536075, 
2.540597, 
2.477816, 
2.504777, 
2.439232, 
2.413226, 
