2.319870,
2.334607,
2.364474,
2.364085,
2.383414,
2.392480,
2.398834,
2.357939,
2.360335,
2.376184,
2.345011,
2.368826,
2.348042,
2.358948,
2.411839,
2.357623,
2.342418,
